#topo1 ((fin.yell,fin.white),est.white,scot.yell);
#topo2 ((fin.yell,est.white),fin.white,scot.yell);
#topo3 ((fin.yell,scot.yell),fin.white,est.white);
topo1	topo2	topo3
117636	110033	106731
106453	117770	110177
117014	127227	90159
94789	128932	110679
99888	119531	114981
103979	131235	99186
116458	117723	100219
130888	102788	100724
112700	121296	100404
73302	170395	90703
115981	111234	107185
116484	122569	95347
114012	101156	119232
60258	141384	132758
82350	128890	123160
97034	120756	116610
100458	105541	128401
128524	110574	95302
110780	117774	105846
98493	84706	151201
122667	116811	94922
103997	121427	108976
78440	112382	143578
102302	144320	87778
82441	132544	119415
119181	97483	117736
89292	140603	104505
112858	117482	104060
69554	162782	102064
75230	151746	107424
nan	nan	nan
89716	138560	106124
87650	137280	109470
62946	131428	140026
47741	191634	95025
127240	102178	104982
132154	85976	116270
88693	118445	127262
89232	134352	110816
88658	131428	114314
162806	89668	81926
126999	111854	95547
104590	134398	95412
138850	110676	84874
54040	164184	116176
101076	116624	116700
72964	136830	124606
54851	161279	118270
73292	152574	108534
68934	141089	124377
103831	130609	99960
131094	110020	93286
102522	104276	127602
113184	111627	109589
128475	108537	97388
98900	126661	108839
62184	172756	99460
87899	135742	110759
145425	102894	86081
129462	104578	100360
95887	123122	115391
114495	130084	89821
117040	126848	90512
95438	146214	92748
132378	115597	86425
103950	152369	78081
106413	161789	66198
86624	169632	78144
84355	132001	118044
106410	113536	114454
129098	101212	104090
86524	133864	114012
90630	151172	92598
108302	123566	102532
99011	122855	112534
109818	118102	106480
100262	142956	91182
122175	104613	107612
109462	103498	121440
140998	93518	99884
135845	96449	102106
101040	107275	126085
128402	88492	117506
136726	102693	94981
149872	92436	92092
119404	107658	107338
125136	101462	107802
120980	110385	103035
127092	112837	94471
83758	121684	128958
126511	104799	103090
144204	97406	92790
133046	111330	90024
111104	112691	110605
121590	110010	102800
70526	136450	127424
107155	123889	103356
128602	108255	97543
127163	102560	104677
91952	117026	125422
106486	113612	114302
97237	129289	107874
70494	137136	126770
120812	104514	109074
119732	111360	103308
106848	107132	120420
104729	132205	97466
130063	118195	86142
112362	118489	103549
95992	124886	113522
127793	109004	97603
111132	113304	109964
134512	108496	91392
96744	103486	134170
105273	125988	103139
60266	144590	129544
129970	100199	104231
157711	80938	95751
167776	91998	74626
175319	77964	81117
112896	112833	108671
152786	86380	95234
105380	127014	102006
105955	124582	103863
99208	122006	113186
95472	147828	91100
nan	nan	nan
112120	117293	104987
107699	127193	99508
84620	154426	95354
108285	124761	101354
208886	54802	70712
152274	97028	85098
119802	112840	101758
151868	89978	92554
118182	113499	102719
115238	97082	122080
134655	101226	98519
148750	108226	77424
124004	97514	112882
135982	104778	93640
105477	103959	124964
93762	103180	137458
181656	99700	53044
123329	85058	126013
133106	83646	117648
86350	152142	95908
119488	100612	114300
173231	75354	85815
140870	75694	117836
117743	89346	127311
56322	104216	173862
73960	69504	190936
64376	107978	162046
140630	59034	134736
56646	95810	181944
117480	125511	91409
100263	137693	96444
155064	81200	98136
129554	79116	125730
110033	124159	100208
152559	90703	91138
104621	121075	108704
111259	101585	121556
108076	102908	123416
111414	112861	110125
93509	109835	131056
94450	94700	145250
127922	84682	121796
101332	112648	120420
122105	95298	116997
112095	94260	128045
96562	93820	144018
113524	100464	120412
94332	113508	126560
96646	115888	121866
131563	101341	101496
122908	94098	117394
105004	100454	128942
62616	157545	114239
61415	135076	137909
141502	98106	94792
84546	90310	159544
112860	104280	117260
126010	106252	102138
132902	102894	98604
110339	107562	116499
76320	140863	117217
83880	121490	129030
96704	114308	123388
135212	83514	115674
92004	97246	145150
109236	110267	114897
118306	98992	117102
125969	99112	109319
70490	114186	149724
111932	109252	113216
176007	87936	70457
165356	81449	87595
101272	106176	126952
128774	94361	111265
107788	107026	119586
160774	87904	85722
127630	101380	105390
125868	81098	127434
124292	85256	124852
109726	105950	118724
102068	108027	124305
103671	113615	117114
106895	111076	116429
112673	84367	137360
77810	95080	161510
77138	97516	159746
157642	83812	92946
109182	101920	123298
123265	102220	108915
109845	108125	116430
122776	115678	95946
94486	145640	94274
94413	113273	126714
108496	101560	124344
111905	94133	128362
107281	125387	101732
123962	100964	109474
105709	111932	116759
56423	143420	134557
106190	99288	128922
99102	103470	131828
94676	96540	143184
125442	103008	105950
143919	86862	103619
80958	130216	123226
89718	103306	141376
102719	106030	125651
138988	88891	106521
181852	68986	83562
152942	56379	125079
126744	86185	121471
138504	76768	119128
153812	94080	86508
111638	97288	125474
116122	75854	142424
146364	92124	95912
147842	82224	104334
175771	76893	81736
145018	94402	94980
109636	80312	144452
126925	105222	102253
101332	116662	116406
122166	118066	94168
102864	109484	122052
86436	123703	124261
101945	112024	120431
91354	112994	130052
110599	108906	114895
59010	90434	184956
79867	98667	155866
101665	92665	140070
93674	96792	143934
49763	67210	217427
98042	105511	130847
109333	96562	128505
107472	107816	119112
121522	114376	98502
130768	95244	108388
154674	97980	81746
124933	94037	115430
91608	94802	147990
103926	108172	122302
184364	70556	79480
132610	95948	105842
127870	77009	129521
86397	99654	148349
107192	136121	91087
nan	nan	nan
110840	142890	80670
104639	141796	87965
124804	137166	72430
155846	111878	66676
102996	138658	92746
94456	150528	89416
96216	147914	90270
103529	112235	118636
51161	143987	139252
100043	102001	132356
89257	112432	132711
138506	81068	114826
83804	93888	156708
110128	92142	132130
114982	103398	116020
54246	116267	163887
83309	110556	140535
82471	126358	125571
107922	102825	123653
81312	133234	119854
107879	73123	153398
150424	89177	94799
153596	88812	91992
179649	77599	77152
87736	93911	152753
66501	78310	189589
62461	89782	182157
68879	104180	161341
47884	112720	173796
71567	92576	170257
161978	78324	94098
124928	94585	114887
110918	102810	120672
142107	92853	99440
119922	108638	105840
148128	92894	93378
116152	103909	114339
140856	97767	95777
139513	97883	97004
142760	102754	88886
97882	63374	173144
119398	84380	130622
95530	108638	130232
106898	114764	112738
95473	105370	133557
130644	103243	100513
104676	135002	94722
69939	93446	171015
66324	109146	158930
79779	87991	166630
117306	86926	130168
159522	84759	90119
136952	106051	91397
163074	85999	85327
128830	84331	121239
139858	91045	103497
93806	111403	129191
116823	104002	113575
106791	121191	106418
97745	130396	106259
80908	129666	123826
88064	109358	136978
96413	107946	130041
93154	126191	115055
70855	149542	114003
126737	105528	102135
96247	91258	146895
109044	100532	124824
121183	124221	88996
124617	90837	118946
58980	88723	186697
89644	102316	142440
126348	118190	89862
129212	134708	70480
108178	115598	110624
88326	97498	148576
93335	81770	159295
119122	83670	131608
87920	93858	152622
112744	74951	146705
72484	91032	170884
100145	100455	133800
120511	58692	155197
90428	124746	119226
126202	88558	119640
78619	109130	146651
60426	82342	191632
37582	64452	232366
40910	93988	199502
46880	95372	192148
39864	107058	187478
119052	77470	137878
42632	86344	205424
40360	85822	208218
91904	86976	155520
113399	112050	108951
102698	129076	102626
161863	79467	93070
86378	168470	79552
nan	nan	nan
71928	118722	143750
103894	113014	117492
94746	150896	88758
72838	161500	100062
nan	nan	nan
101383	112718	120299
93092	109908	131400
104856	122429	107115
124370	118072	91958
75874	74984	183542
94277	76063	164060
120442	86636	127322
189274	70610	74516
128915	100348	105137
164500	76716	93184
153500	79302	101598
111810	118827	103763
117526	113897	102977
90674	102130	141596
107098	131726	95576
107600	136458	90342
93416	145105	95879
83488	141794	109118
98688	105166	130546
105064	104426	124910
120852	110612	102936
134999	90258	109143
102484	109912	122004
110879	113660	109861
112587	98969	122844
138719	94947	100734
118741	111864	103795
84157	138621	111622
100541	117924	115935
104488	108097	121815
102630	130203	101567
107810	115970	110620
116748	100006	117646
150063	77182	107155
194840	69296	70264
127058	113326	94016
125131	99912	109357
173979	79617	80804
122770	114108	97522
130346	101201	102853
108424	112117	113859
90262	107118	137020
105084	106467	122849
108551	117363	108486
nan	nan	nan
70430	142624	121346
147417	81141	105842
90077	83451	160872
70662	83476	180262
131572	85204	117624
139905	74703	119792
97201	110237	126962
151810	84244	98346
132122	108552	93726
133115	83292	117993
119585	124893	89922
109711	122820	101869
79310	115034	140056
109870	117706	106824
107710	104284	122406
147194	79836	107370
117979	119105	97316
143774	91790	98836
100186	98648	135566
108677	104835	120888
91668	121606	121126
105019	111541	117840
95412	82204	156784
118298	83362	132740
115660	101463	117277
144941	89838	99621
110584	99097	124719
105071	117321	112008
93471	116384	124545
95744	104634	134022
145265	88645	100490
105636	106742	122022
76944	86956	170500
121982	75680	136738
109576	125008	99816
31114	73380	229906
21336	39814	273250
76244	84128	174028
76720	35720	221960
25834	63164	245402
89828	113356	131216
90590	103014	140796
67450	111416	155534
97690	97426	139284
183463	74717	76220
162586	72894	98920
146331	72764	115305
212692	61577	60131
119235	95870	119295
78386	120494	135520
84416	94020	155964
62160	98762	173478
112010	42104	180286
91911	69167	173322
122631	70008	141761
142324	88904	103172
117326	92188	124886
145116	69659	119625
nan	nan	nan
126278	98168	109954
89304	122316	122780
163832	42842	127726
102232	70186	161982
146150	74597	113653
103998	69963	160439
185190	34650	114560
192325	54624	87451
160558	80308	93534
156408	71568	106424
179004	59376	96020
153883	73107	107410
171704	68868	93828
131174	72630	130596
110222	96740	127438
130453	81091	122856
109552	104879	119969
151858	68355	114187
169685	68533	96182
109036	95764	129600
99858	112598	121944
97549	111434	125417
114565	92874	126961
113555	104313	116532
139434	95948	99018
114086	133500	86814
104154	96252	133994
116509	95603	122288
